carNo,disName,catProdId,storeId,plusInsurance,prodId,birthday,buyDate,buyDistance,nowDistance,status,updateDate,updator,prodCatId,pic1,pic2,pic3,pic4,officeImg,describeImg,prodPriceRowId,monthStartDistance,clientOrderId,contractMonthOfDate,engineId,color,insuranceDueDate,lat,lng,locatUpdateDate,enabledDistance,ccType,carNoDisName,contractMileage,deductibleMileage,keyBoxDoorId,ecoAuto,enabledEco,maintainDistance,maintainDays,lastMaintainDistance,lastMaintainDate,carOwner,statusChangeMsg,statusChangeDate,iotType,isPutKeyBox
EMD-8090,,,1,,16167311669740784,2018-03-01,2018-05-28,0,116561,1,20241218165237,admin,3,prod/16167311669740784-1-e5a874d1514676a4c4a.jpg,prod/16167311669740784-2-4d9829cedc45d171634.jpg,,,office_prod/16167311669740784-officeImg-3bda4a9f23912382c98.png,,,116561,,1,RHMGSBT10J0039983,橘色,20230529,,,,T,M,EMD-8090,400,400,,,F,3000,180,100000,20240201,,ok,20241218165237,,F
EMD-8099,,,1,,16167313599000635,2023-05-23,2023-05-24,1000,10,1,20231129220632,admin,3,prod/16167313599000635-1-f59e96f1e4812debf3c.jpg,prod/16167313599000635-2-d45f44655f1ce0282d2.jpg,,,office_prod/16167313599000635-officeImg-3d2b5a23dd4ceda5c57.png,,,10,,1,RHMGSBT10J0042887,黃色,20230529,,,,T,M,EMD-8099,400,400,,,F,500,20,7600,,,,,,F
EMD-6809,,,21,,16184520717040138,2018-02-01,2017-04-25,0,20002,1,20210924150035,admin,3,prod/16184520717040138-1-be8d3dc9075e48df7c8.jpg,prod/16184520717040138-2-1302a85e2baef950faf.jpg,,,office_prod/16184520717040138-officeImg-3bda4a9f23912382c98.png,,,20002,,1,100,橘,20210924,,,,T,M,EMD-6809,400,400,,,F,0,0,0,,,,,,F
EMD-6812,,,45,,16184522797870235,,,0,0,1,20231129220358,admin,3,prod/16184522797870235-1-907f563a9f3c9f2cc29.jpg,prod/16184522797870235-2-5b9169ddc323dacc17a.jpg,,,office_prod/16184522797870235-officeImg-3bda4a9f23912382c98.png,,,0,,1,101,橘,20240315,,,,F,M,EMD-6812,400,400,,31210017317,F,0,0,0,,,,,,F
EMD-6813,,,15,,16184524289900213,2018-02-01,2021-04-15,14633,150000,1,20210701111530,admin,3,prod/16184524289900213-1-3660beb73e639962621.jpg,prod/16184524289900213-2-2e030f91b61971f2727.jpg,,,office_prod/16184524289900213-officeImg-3bda4a9f23912382c98.png,,,150000,,1,102,橘,,,,,T,M,EMD-6813,400,400,,,F,0,0,0,,,,,,F
EMD-6818,,,15,,16184524762620761,2018-03-01,2021-04-15,0,14898,1,20210701111543,admin,3,prod/16184524762620761-1-ea38b9893aa1c7e1bcf.jpg,prod/16184524762620761-2-5e17df7f8339d824962.jpg,,,office_prod/16184524762620761-officeImg-0dff604e146e9e5ad49.png,,,14898,,1,103,藍,,24.136061666666667,120.68606166666666,20220701154500,T,M,EMD-6818,400,400,,,F,0,0,0,,,,,,F
EMD-6826,,,15,,16184525223990788,2018-03-01,2021-04-15,0,16020,1,20210701111600,admin,3,prod/16184525223990788-1-10e1cb6cabf3a97732f.jpg,prod/16184525223990788-2-ea59dfe1b941e331eb6.jpg,,,office_prod/16184525223990788-officeImg-0dff604e146e9e5ad49.png,,,16020,,1,104,藍,,,,,T,M,EMD-6826,400,400,,,F,0,0,0,,,,,,F
EMD-6827,,,15,,16184525754760426,2018-03-01,2021-04-15,0,15386,1,20210701111608,admin,3,prod/16184525754760426-1-c1a638b242159cc0363.jpg,prod/16184525754760426-2-196a0020022f73f48a1.jpg,,,office_prod/16184525754760426-officeImg-0dff604e146e9e5ad49.png,,,15386,,1,105,藍,,,,,T,M,EMD-6827,400,400,,,F,0,0,0,,,,,,F
EMD-6828,,,15,,16184526033100598,2018-03-01,2021-04-15,0,16289,1,20210701111616,admin,3,prod/16184526033100598-1-8538cba014331c006a7.jpg,prod/16184526033100598-2-3b68ace5bbed0a38e56.jpg,prod/16184526033100598-3-f945e74774a2b36fb58.jpg,prod/16184526033100598-4-f945e74774a2b36fb58.jpg,office_prod/16184526033100598-officeImg-3bda4a9f23912382c98.png,,,16289,,1,106,橘,20230117,,,,T,M,EMD-6828,400,400,,,F,0,0,0,,,,,,F
EMD-6831,,,44,,16184526299930124,2021-04-15,2021-04-15,0,0,1,20231129220529,admin,3,prod/16184526299930124-1-7456aa1da6b01ce9bd6.jpg,prod/16184526299930124-2-d57c819ae02336412a0.jpg,,,office_prod/16184526299930124-officeImg-3d2b5a23dd4ceda5c57.png,,,0,,1,EMD-6831,黃,20230529,,,,F,M,EMD-6831,400,400,,,F,0,0,0,,,,,,F
EMD-6835,,,15,,16184526566350380,2018-04-01,2021-04-15,0,9928,1,20210701111631,admin,3,prod/16184526566350380-1-3e2b954055c8e452e66.jpg,prod/16184526566350380-2-4d82c4bb28e2cc43c04.jpg,,,office_prod/16184526566350380-officeImg-3d2b5a23dd4ceda5c57.png,,,9928,,1,107,黃,,,,,T,M,EMD-6835,400,400,,,F,0,0,0,,,,,,F
EMD-6836,,,15,,16184527133390407,2018-04-01,2021-04-15,0,8716,1,20210701111643,admin,3,prod/16184527133390407-1-9c57960fe9d67bffaf0.jpg,prod/16184527133390407-2-c21b82c5db2466c57ed.jpg,,,office_prod/16184527133390407-officeImg-3d2b5a23dd4ceda5c57.png,,,8716,,1,108,黃,,,,,T,M,EMD-6836,400,400,,,F,0,0,0,,,,,,F
EMD-6838,,,15,,16184527696070178,2018-04-01,2021-04-15,0,20101,1,20210701111721,admin,3,prod/16184527696070178-1-78b5ac25168814c4693.jpg,prod/16184527696070178-2-1cc2074939efcaa6953.jpg,,,office_prod/16184527696070178-officeImg-3d2b5a23dd4ceda5c57.png,,,20101,,1,110,黃,,25.06301,121.52416166666667,20210922144500,T,M,EMD-6838,400,400,,,F,0,0,0,,,,,,F
EMD-6839,,,14,,16184527910440315,2021-04-15,2021-04-15,0,8715,1,20210625151816,admin,3,prod/16184527910440315-1-629e0c5723ec8188d0e.jpg,prod/16184527910440315-2-16890891315e976a14d.jpg,,,office_prod/16184527910440315-officeImg-0dff604e146e9e5ad49.png,,,8715,,30,111,藍,,,,,T,M,EMD-6839,400,400,,,F,0,0,0,,,,,,F
EMD-7158,,,15,,16184528103370022,2018-04-01,2021-04-15,0,18102,0,20210915105121,zochakeelung71,3,prod/16184528103370022-1-f5aeca8f54728d32402.jpg,prod/16184528103370022-2-765ec6bd6713cd8aa53.jpg,,,office_prod/16184528103370022-officeImg-8ee163965c752b4df31.png,,,18102,,1,112,黑,20210915,,,,T,M,EMD-7158,400,400,,,F,0,0,0,,,,,,F
EMD-7159,,,15,,16184529855520396,2018-04-01,2021-04-15,0,17003,1,20210701111737,admin,3,prod/16184529855520396-1-93b997fc7eb348a47b2.jpg,prod/16184529855520396-2-5d4990caa5a18488ae1.jpg,,,office_prod/16184529855520396-officeImg-1eae7ae6ce239862c44.png,,,17003,16236379649580010,1,113,白,,,,,T,M,EMD-7159,400,400,,,F,0,0,0,,,,,,F
EMD-7173,,,15,,16184530066880243,2018-04-01,2021-04-15,0,999999,1,20210701111746,admin,3,prod/16184530066880243-1-7ec6a6b131170077b9f.jpg,prod/16184530066880243-2-99509caca64cee3baf6.jpg,,,office_prod/16184530066880243-officeImg-8188688530384c8fd8e.png,,,999999,,1,114,紅,,25.043556666666667,121.50571,20230117100500,T,M,EMD-7173,400,400,,,F,0,0,0,,,,,,F
EMD-7179,,,22,,16184530282810316,2021-04-15,2021-04-15,0,0,1,20230112155935,admin,3,prod/16184530282810316-1-56a237a7ed604b948ab.jpg,prod/16184530282810316-2-b405a823f6afed41642.jpg,prod/16184530282810316-3-2ace7e0ddc324f941d9.JPG,prod/16184530282810316-4-2ace7e0ddc324f941d9.JPG,office_prod/16184530282810316-officeImg-8188688530384c8fd8e.png,,,0,16638155899560628,1,115,紅,20211202,,,,T,M,EMD-7179,400,400,,,F,0,0,0,,,,,,F
EMD-8103,,,15,,16184530519270113,2018-04-01,2021-04-15,0,15765,1,20210701111754,admin,3,prod/16184530519270113-1-bdb12877444c6ac7388.jpg,prod/16184530519270113-2-3ed67579b7c8724408d.jpg,,,office_prod/16184530519270113-officeImg-1eae7ae6ce239862c44.png,,,15765,,1,116,白,,,,,T,M,EMD-8103,400,400,,,F,0,0,0,,,,,,F
EMD-8105,,,15,,16184530838180336,2018-04-01,2021-04-15,0,20002,1,20210701111800,admin,3,prod/16184530838180336-1-ffba7d8dfee5fae69c8.jpg,prod/16184530838180336-2-e63a25b485236d3a7f5.jpg,,,office_prod/16184530838180336-officeImg-1eae7ae6ce239862c44.png,,,20002,,1,117,白,,25.046841666666666,121.51336166666667,20220617164000,T,M,EMD-8105,400,400,,,F,0,0,0,,,,,,F
EMD-8106,,,1,,16184530995730998,2021-04-15,2021-04-15,0,15344,1,20241218165228,admin,3,prod/16184530995730998-1-7766854b929113040ac.jpg,prod/16184530995730998-2-1f422e1cf6278226dea.jpg,,,office_prod/16184530995730998-officeImg-1eae7ae6ce239862c44.png,,,15344,,1,118,白,20230529,,,,T,M,EMD-8106,400,400,,,F,0,0,0,,,ok,20241218165228,,F
EMD-8109,,,15,,16184531223650099,2018-04-01,2021-04-15,0,17003,1,20210701111808,admin,3,prod/16184531223650099-1-9f5860710775272ee7b.jpg,prod/16184531223650099-2-8c60c2ad48a9050cb31.jpg,,,office_prod/16184531223650099-officeImg-8188688530384c8fd8e.png,,,17003,,1,119,紅,,,,,T,M,EMD-8109,400,400,,,F,0,0,0,,,,,,F
EMD-8113,,,15,,16184531455920570,2018-04-01,2021-04-15,0,14687,1,20210701111816,admin,3,prod/16184531455920570-1-1c6d47969671beabe82.jpg,prod/16184531455920570-2-a15eaebbbec7c8f0137.jpg,,,office_prod/16184531455920570-officeImg-8188688530384c8fd8e.png,,,14687,,1,120,紅,,,,,T,M,EMD-8113,400,400,,,F,0,0,0,,,,,,F
EMD-8117,,,1,,16184535661730907,2021-04-15,2021-04-15,0,16553,1,20241218165217,admin,3,prod/16184535661730907-1-45208aea4b2dc6744bb.jpg,prod/16184535661730907-2-45fe8ccad602e203615.jpg,,,office_prod/16184535661730907-officeImg-8ee163965c752b4df31.png,,,16553,,1,121,黑,20230529,,,,T,M,EMD-8117,400,400,,,F,0,0,0,,,ok,20241218165217,,F
EMD-8120,,,15,,16184536087570081,2018-04-01,2021-04-15,0,11462,1,20210701111838,admin,3,prod/16184536087570081-1-3ae8f138786b1e708c7.jpg,prod/16184536087570081-2-5e2317c2d29eb032520.jpg,,,office_prod/16184536087570081-officeImg-8188688530384c8fd8e.png,,,11462,,1,122,紅,,,,,T,M,EMD-8120,400,400,,,F,0,0,0,,,,,,F
EMD-8128,,,15,,16184536317630481,2018-05-01,2021-04-15,0,19106,1,20210701111853,admin,3,prod/16184536317630481-1-ad5b2813d6f3e2826d3.jpg,prod/16184536317630481-2-e435ca88bddd1b2b5a5.jpg,,,office_prod/16184536317630481-officeImg-8ee163965c752b4df31.png,,,19106,,1,123,黑,,,,,T,M,EMD-8128,400,400,01,,F,0,0,0,,,,,,F
EMD-8129,,,15,,16184536479620092,2018-05-01,2021-04-15,0,16012,1,20210701111906,admin,3,prod/16184536479620092-1-1a3123420c3c50909e5.jpg,prod/16184536479620092-2-ea33dcbbd2eaeaf19f4.jpg,prod/16184536479620092-3-466292a6c2c0c336244.jpg,prod/16184536479620092-4-466292a6c2c0c336244.jpg,office_prod/16184536479620092-officeImg-8ee163965c752b4df31.png,,,16012,,1,124,黑,,,,,T,M,EMD-8129,400,400,01,,F,0,0,0,,,,,,F
ENT-3729,,,1,,16184537047800720,2021-04-15,2021-04-15,10000,4250,1,20211206110916,admin,6,prod/16184537047800720-1-80c1e382507d98d1e3b.jpg,prod/16184537047800720-2-8a381f6d103fa85b8b7.jpg,prod/16184537047800720-3-9ab37788c1514030059.png,,office_prod/16184537047800720-officeImg-8188688530384c8fd8e.png,,,4250,17465025436000293,1,125,紅,20211206,,,,T,M,ENT-3729,400,400,,,F,500,20,3700,,,,,,F
ENE-2808,,,15,,16184538438760351,2019-04-01,2021-04-15,0,5002,1,20210701111922,admin,1,prod/16184538438760351-1-c9fe3918167d4b6733d.jpg,prod/16184538438760351-2-1cbeb1d04f55ff8ff34.jpg,prod/16184538438760351-3-b7d13db7679b01e4086.png,,office_prod/16184538438760351-officeImg-d4059a113371b49fe78.png,,,5002,,1,126,紅,,,,,T,M,ENE-2808,400,400,02,,F,0,0,0,,,,,,F
EWK-6375,,,15,,16184538683320581,2021-04-15,2021-04-15,0,744,1,20230206125450,admin,3,prod/16184538683320581-1-5a13ad7f1652ac4e07a.jpg,prod/16184538683320581-2-73cb1b4f3180d7fa834.jpg,prod/16184538683320581-3-f95066975a7b011275e.jpg,,office_prod/16184538683320581-officeImg-11a581fb2e8373e9bf8.png,,,744,,15,127,白,20211206,,,,T,S,EWK-6375,400,400,,,F,0,0,0,,,,,,F
ENC-2252,,,15,,16184539824920736,2019-03-01,2021-04-15,0,3644,1,20210701111943,admin,9,prod/16184539824920736-1-62a079454501b63618a.jpg,prod/16184539824920736-2-542800aa41b0c354cbe.jpg,prod/16184539824920736-3-2ed4e759b0f527be472.jpg,,office_prod/16184539824920736-officeImg-878b2811d376ce4242a.png,,,3644,,1,128,銀,,,,,T,M,ENC-2252,400,400,,,F,0,0,0,,,,,,F
ENC-9358,,,15,,16184540058020082,2019-03-01,2021-04-15,0,4851,1,20210701111959,admin,9,prod/16184540058020082-1-2ff7e90fa9c1a7d56ed.jpg,prod/16184540058020082-2-d2d586204633df5585e.jpg,prod/16184540058020082-3-b9eca222c2d68967ef5.jpg,,office_prod/16184540058020082-officeImg-878b2811d376ce4242a.png,,,4851,,1,129,銀,,,,,T,M,ENC-9358,400,400,,,F,0,0,0,,,,,,F
EWK-6376,,,37,,16186313188420516,2019-02-09,2021-03-31,0,755,1,20241201165705,admin,3,prod/16186313188420516-1-371681b93d389afe7a1.jpg,,prod/16186313188420516-3-2b0e87c491ce6962a5b.png,,office_prod/16186313188420516-officeImg-11a581fb2e8373e9bf8.png,,,755,,1,RHMGSFT10K0P00141,淺灰,20211206,,,,T,S,EWK-6376,400,400,,,T,0,0,0,20240103,," ",20241201165705,ECO,F
EMS-3121,,,1,,16186315255360949,2021-04-17,2021-03-31,5322,5920,1,20241218165209,admin,3,prod/16186315255360949-1-9523cfb52f9c3d65814.jpg,prod/16186315255360949-2-28611761665700c31ce.jpg,prod/16186315255360949-3-d9d2dddf7e9920e373d.jpg,,office_prod/16186315255360949-officeImg-0dff604e146e9e5ad49.png,,,5920,,1,RHMGSBT10J0069065,藍,20230529,,,,T,M,EMS-3121,400,400,,,F,0,0,0,,,ok,20241218165209,,F
ENU-0666,,,1,,16186316854890706,2019-09-01,2021-03-31,1949,2150,1,20241218165148,admin,3,prod/16186316854890706-1-1118efaa55dc23501f7.jpg,prod/16186316854890706-2-3940411081eb0a8a2e2.jpg,prod/16186316854890706-3-d55e7e5c856ecaadd17.jpg,,office_prod/16186316854890706-officeImg-0dff604e146e9e5ad49.png,,,2150,,1,RHMGSBT10K0172379,藍,20230529,,,,T,M,ENU-0666,400,400,,,F,0,0,0,,,okk,20241218165148,,F
ENV-6092,,,4,,16186318762810020,2020-03-01,2020-12-25,0,0,0,20250313121449,admin,2,prod/16186318762810020-1-73dd6401a8d989ccc0c.jpg,prod/16186318762810020-2-8ea35c6294220ce9b4b.jpg,prod/16186318762810020-3-73bb406d77d1afc5c5d.jpg,,office_prod/16186318762810020-officeImg-fbcba06ad04f30cfe27.png,,,0,,1,RHMYSBT10L0001082,藍深灰,20230529,,,,F,M,ENV-6092,400,400,,91882023123,T,0,0,0,,,test,20250313121400,ECO,F
EMS-1056,,,1,,16186320996670289,2021-04-17,2021-03-31,3067,3563,1,20241218165459,admin,3,prod/16186320996670289-1-29dcec6515adba0f8cd.jpg,prod/16186320996670289-2-3a162dbe642f908444b.jpg,prod/16186320996670289-3-4b46280d15fbd15dcb5.jpg,,office_prod/16186320996670289-officeImg-0dff604e146e9e5ad49.png,,,3563,,1,RHMGSBT10J0069066,藍,20230529,,,,T,M,EMS-1056,400,400,,,F,0,0,0,,,admin,20241218165459,,F
ENV-6090,,,14,,16197040349500367,2020-03-01,2020-12-14,0,2010,1,20210705160810,admin,2,prod/16197040349500367-1-1d8672bd677ffe50203.jpg,prod/16197040349500367-2-f14d249cdc9c3629e3c.jpg,prod/16197040349500367-3-edd973709b4ec766bd8.jpg,,office_prod/16197040349500367-officeImg-fbcba06ad04f30cfe27.png,,,2010,,15,RHMYSBT10L0001346,寂光藍,,,,,T,M,ENV-6090,400,400,,,F,0,0,0,,,,,,F
ENC-2203,,,14,,16198007159470538,2019-03-01,2021-04-07,957,1000,1,20210627173539,admin,9,prod/16198007159470538-1-e77785739570b9cb5c2.jpg,prod/16198007159470538-2-0e60cef3d7c5b2a1c8d.jpg,prod/16198007159470538-3-a37478357744a355d47.jpg,,office_prod/16198007159470538-officeImg-878b2811d376ce4242a.png,,,1000,,30,RHMGSBT10K0115240,銀,,,,,T,M,ENC-2203,400,400,,,F,0,0,0,,,,,,F
EMD-6820,,,1,,16200296401250967,2021-05-03,2021-05-03,9,9607,1,20241218165507,admin,3,prod/16200296401250967-1-3d4ab8835122d7aefd6.jpg,prod/16200296401250967-2-5b8c4e116fedd02a27c.jpg,,,office_prod/16200296401250967-officeImg-0dff604e146e9e5ad49.png,,,9607,,1,12e,綠,20230529,,,,T,M,EMD-6820,400,400,,,F,0,0,0,,,admin,20241218165507,,F
ENT-3279,,,1,,16200297486130286,2021-05-03,2021-05-03,10000,4200,1,20241218165116,admin,3,prod/16200297486130286-1-80c1e382507d98d1e3b.jpg,prod/16200297486130286-2-8a381f6d103fa85b8b7.jpg,,,office_prod/16200297486130286-officeImg-8188688530384c8fd8e.png,,,4200,,1,12313,顏色,,,,,T,M,ENT-3279,400,400,,,F,0,0,0,,,okk,20241218165116,,F
EMU-7975,,,1,,16200304679160932,2021-05-03,2021-05-03,630,10000002,1,20241218165518,admin,1,prod/16200304679160932-1-8937c30bae36f747140.jpg,prod/16200304679160932-2-d49a4a8ac52a631f153.jpg,prod/16200304679160932-3-de7baed91d0bd2dbf2b.png,prod/16200304679160932-4-d4059a113371b49fe78.png,office_prod/16200304679160932-officeImg-d4059a113371b49fe78.png,,,10000002,,1,12312,藍,20230103,,,,T,M,EMU-7975,630,630,,,F,0,0,0,,,admin,20241218165518,,F
EMU-7965,,,1,,16200305309060968,2021-05-03,2021-05-03,0,1579,1,20241218165526,admin,1,prod/16200305309060968-1-5c9d69ecc964f0f0cd4.jpg,prod/16200305309060968-2-6f76818d06b5b6ad2f6.jpg,prod/16200305309060968-3-4ad11841ed5230b6b17.png,,office_prod/16200305309060968-officeImg-d4059a113371b49fe78.png,,,1579,,1,123123,藍,20230529,,,,T,M,EMU-7965,400,400,,,F,0,0,0,,,admin,20241218165526,,F
EMN-0732,,,1,,16200306391540317,2021-05-03,2021-05-03,0,4,1,20241218165533,admin,9,prod/16200306391540317-1-c7674dafeb533b586df.jpg,prod/16200306391540317-2-8eb9dab0397bb62ed5d.jpg,prod/16200306391540317-3-759de88356d94fe426a.png,prod/16200306391540317-4-759de88356d94fe426a.png,office_prod/16200306391540317-officeImg-878b2811d376ce4242a.png,,,4,,1,RHMGSBT10K115247,褐色,20230529,,,,T,M,EMN-0732,400,400,,,F,0,0,0,,,admin,20241218165533,,F
EMN-0737,,,15,,16202882723600447,2019-03-01,2021-05-06,1,2252,1,20210701112012,admin,9,prod/16202882723600447-1-dd3428e40a7ef9c09b2.jpg,prod/16202882723600447-2-6e503a0d1f54f6cdaac.jpg,prod/16202882723600447-3-765d2bfd996e103b4ff.png,,office_prod/16202882723600447-officeImg-878b2811d376ce4242a.png,,,2252,,1,555,銀色,20221111,,,,T,M,EMN-0737,400,400,,,F,0,0,0,,,,,,F
EMU-7973,,,15,,16202882995940451,2019-04-01,2021-05-06,1,7937,1,20210816115052,admin,1,prod/16202882995940451-1-12d1bf4c3836e4be50e.jpg,prod/16202882995940451-2-4231ab904e12538f73b.jpg,prod/16202882995940451-3-0a278c74e48ceca2cc9.png,,office_prod/16202882995940451-officeImg-d4059a113371b49fe78.png,,,7937,,1,556,銀,20210816,,,,T,M,EMU-7973,400,400,,,F,0,0,0,,,,,,F
EMD-8092,,,15,,16203773885110534,2018-03-01,2021-05-07,1,11,1,20210701112113,admin,3,prod/16203773885110534-1-9a6060b14a3a85e602f.jpg,prod/16203773885110534-2-28955df29de6bea1180.jpg,,,office_prod/16203773885110534-officeImg-0dff604e146e9e5ad49.png,,,11,,1,505,藍色,,24.178846666666665,120.62232666666667,20220822102500,T,M,EMD-8092,400,400,,,F,0,0,0,,,,,,F
EMJ-8522,,,14,,16204400473140052,2021-03-01,2021-04-06,1,2756,1,20210627153658,admin,7,prod/16204400473140052-1-432bd35d26902110443.jpg,prod/16204400473140052-2-ecdee05a95aae3b358a.jpg,prod/16204400473140052-3-ca5a32cb32af782550e.jpg,,office_prod/16204400473140052-officeImg-0dff604e146e9e5ad49.png,,,2756,,30,RHMGSJT10M0005328,深藍,,,,,T,M,EMJ-8522,400,400,,,F,0,0,0,,,,,,F
ENC-2781,,,14,,16204404521560900,2019-04-01,2019-05-08,1,4248,1,20210702135301,admin,1,prod/16204404521560900-1-3547ed037c268c68da5.jpg,prod/16204404521560900-2-7552ecac3382f9f00ed.jpg,prod/16204404521560900-3-9502d7cd7556b5be36b.jpg,,office_prod/16204404521560900-officeImg-d4059a113371b49fe78.png,,,4248,,30,RHMGSPT10K0000297,漿果紅,,,,,T,M,ENC-2781,400,400,,,F,0,0,0,,,,,,F
EWF-6707,,,14,,16204406553990915,2019-12-01,2021-04-13,125,256,1,20210627175414,admin,6,prod/16204406553990915-1-674d192f4b069ba4780.jpg,prod/16204406553990915-2-4fbac8b1259d4fc8648.jpg,prod/16204406553990915-3-29abf4aec0273d032c3.png,,office_prod/16204406553990915-officeImg-cde1c1af194cbb923da.png,,,256,,30,RHMGSFT10K0014340,橙黃,,,,,T,M,EWF-6707,400,400,,,F,0,0,0,,,,,,F
EWL-6023,,,14,,16204409309810372,2019-09-01,2021-03-29,1,939,1,20210627145659,admin,6,prod/16204409309810372-1-75ef0da4d9058d95db5.jpg,prod/16204409309810372-2-cd1c2b0346ec99b5882.jpg,prod/16204409309810372-3-75ef0da4d9058d95db5.jpg,,office_prod/16204409309810372-officeImg-cde1c1af194cbb923da.png,,,939,,30,RHMGSFT10K0P00293,橙紅,,,,,T,M,EWL-6023,400,400,,,F,0,0,0,,,,,,F
EWF-8175,,,14,,16204416925930363,2019-09-01,2021-04-27,476,476,1,20210627152103,admin,6,prod/16204416925930363-1-c9a6fb6a6f7d7d33416.jpg,prod/16204416925930363-2-47510e18624139c4711.jpg,prod/16204416925930363-3-343b4d7d708d9352b2a.png,,office_prod/16204416925930363-officeImg-e70e152104a8bd699d3.png,,,476,,30,RHMGSFT10K0P00330,薄荷藍,,,,,T,M,EWF-8175,400,400,,,F,0,0,0,,,,,,F
EWF-2523,,,14,,16204487013470429,2019-09-01,2021-04-27,975,975,1,20210627151846,admin,6,prod/16204487013470429-1-9dd89bb6cc04cf23444.jpg,prod/16204487013470429-2-3c5d0cfcfe3dc2103e1.jpg,prod/16204487013470429-3-b600158f39ecab1318d.png,,office_prod/16204487013470429-officeImg-cbf4d0dc53dd168b490.png,,,975,,30,RHMGSFT10K0P00267,野莓藍,,,,,T,M,EWF-2523,400,400,,,F,0,0,0,,,,,,F
EWH-6369,,,14,,16204489978660156,2019-09-01,2020-11-23,1945,1945,1,20210627130307,admin,6,prod/16204489978660156-1-2d9033a2405ce9da262.jpg,,prod/16204489978660156-3-aeb903bfdbe57148a64.png,,office_prod/16204489978660156-officeImg-11a581fb2e8373e9bf8.png,,,1945,,30,RHMGSFT10K0P00151,淺灰,,,,,T,M,EWH-6369,400,400,,,F,0,0,0,,,,,,F
EWT-5916,,,14,,16204491914810189,2020-02-01,2020-12-29,539,539,1,20210627144457,admin,6,prod/16204491914810189-1-0107b688cb439fa1dc4.jpg,prod/16204491914810189-2-631e1363041e9dd01e4.jpg,prod/16204491914810189-3-94ad0a743b6eaf6dfca.jpg,,office_prod/16204491914810189-officeImg-11a581fb2e8373e9bf8.png,,,539,,30,RHMGSFT10L0003880,淺灰,,,,,T,M,EWT-5916,400,400,,,F,0,0,0,,,,,,F
EWK-9228,,,14,,16204492926460232,2020-02-01,2020-12-29,3636,3636,1,20210627142146,admin,6,prod/16204492926460232-1-b3691d73db0844eb245.jpg,prod/16204492926460232-2-948f87a6193d06d5a94.jpg,prod/16204492926460232-3-5e8a64acbea6b91cb0b.jpg,,office_prod/16204492926460232-officeImg-e70e152104a8bd699d3.png,,,3636,,30,RHMGSFT10L0004814,藍灰,,,,,T,M,EWK-9228,400,400,,,F,0,0,0,,,,,,F
EMD-6815,,,14,,16204512272070197,2018-02-01,2019-09-06,7714,7715,1,20210625132257,admin,3,prod/16204512272070197-1-e02a8049f6e0fbee6dd.jpg,prod/16204512272070197-2-2f4da04150a4bf3c531.jpg,,,office_prod/16204512272070197-officeImg-3bda4a9f23912382c98.png,,,7715,,30,RHMGSBT10J0034575,橘,,,,,T,M,EMD-6815,400,400,01,,F,0,0,0,,,,,,F
